Configuration,Aging,Temperature (C),Delta TTE (%),Delta TTE (h)
w/o Aging,Aged (800 cycles),0,53.64,1.98
w/o Aging,Aged (800 cycles),25,55.54,1.73
w/o Aging,Aged (800 cycles),40,56.15,2.14
w/o Aging,Moderate (300 cycles),0,13.69,0.68
w/o Aging,Moderate (300 cycles),25,14.21,0.6
w/o Aging,Moderate (300 cycles),40,14.35,0.75
w/o Aging,New (0 cycles),0,0.0,0.0
w/o Aging,New (0 cycles),25,0.0,0.0
w/o Aging,New (0 cycles),40,0.0,0.0
w/o Component Decomp.,Aged (800 cycles),0,31.62,1.16
w/o Component Decomp.,Aged (800 cycles),25,46.2,1.46
w/o Component Decomp.,Aged (800 cycles),40,46.27,1.79
w/o Component Decomp.,Moderate (300 cycles),0,31.4,1.56
w/o Component Decomp.,Moderate (300 cycles),25,45.68,1.97
w/o Component Decomp.,Moderate (300 cycles),40,45.72,2.41
w/o Component Decomp.,New (0 cycles),0,31.28,1.77
w/o Component Decomp.,New (0 cycles),25,45.41,2.23
w/o Component Decomp.,New (0 cycles),40,45.43,2.74
w/o Polarization (K=0),Aged (800 cycles),0,1.01,0.03
w/o Polarization (K=0),Aged (800 cycles),25,1.73,0.05
w/o Polarization (K=0),Aged (800 cycles),40,1.78,0.07
w/o Polarization (K=0),Moderate (300 cycles),0,1.02,0.04
w/o Polarization (K=0),Moderate (300 cycles),25,1.73,0.07
w/o Polarization (K=0),Moderate (300 cycles),40,1.76,0.09
w/o Polarization (K=0),New (0 cycles),0,1.02,0.04
w/o Polarization (K=0),New (0 cycles),25,1.71,0.08
w/o Polarization (K=0),New (0 cycles),40,1.74,0.1
w/o Temperature,Aged (800 cycles),0,69.48,2.58
w/o Temperature,Aged (800 cycles),25,0.0,0.0
w/o Temperature,Aged (800 cycles),40,-18.15,-0.69
w/o Temperature,Moderate (300 cycles),0,70.12,3.51
w/o Temperature,Moderate (300 cycles),25,0.0,0.0
w/o Temperature,Moderate (300 cycles),40,-18.37,-0.96
w/o Temperature,New (0 cycles),0,70.53,4.01
w/o Temperature,New (0 cycles),25,0.0,0.0
w/o Temperature,New (0 cycles),40,-18.47,-1.1
