parameter,factor,tte_hours,delta_pct
K_SCREEN_BRIGHTNESS,0.95,8.500277777777777,0.02288030332744384
K_SCREEN_BRIGHTNESS,1.05,8.49611111111111,-0.026148918088519935
K_CPU_LOAD,0.95,8.499166666666667,0.009805844283206078
K_CPU_LOAD,1.05,8.497222222222222,-0.013074459044259967
P_4G_ACTIVE,0.95,8.735555555555555,2.7913970059488813
P_4G_ACTIVE,1.05,8.273333333333333,-2.647577956462044
P_GPS_ON,0.95,8.655,1.8434987252402335
P_GPS_ON,1.05,8.346944444444444,-1.7813950447800209
P_BASE_IDLE,0.95,8.508611111111112,0.1209387461593936
P_BASE_IDLE,1.05,8.488055555555556,-0.12093874615936029
