Battery,Model,RMSE (mV),MAE (mV),MaxError (mV),MeanRelErr (%),StdErr (mV)
Bat-1,NBM,71.76203307875471,49.605145596262346,719.4679959501107,1.3998552150563885,71.7608205842185
Bat-1,Shepherd (Proposed),17.64005589713524,9.158869365988272,295.692043120793,0.2627973889072368,17.640025976851778
Bat-1,Rint,39.36916095960721,16.59532426591694,555.6818503316059,0.4935907133259439,39.31621910378396
Bat-1,Thevenin-1RC,39.50410565257116,16.962608156471642,553.6818680751363,0.5032874721454141,39.29974193568701
Bat-1,Thevenin-2RC,39.73925365485454,17.504155416696225,551.6819144135541,0.517612524733975,39.28766567953981
Bat-2,NBM,71.89064816564769,49.66479181350479,719.4679959501107,1.40120765326667,71.87412670636778
Bat-2,Shepherd (Proposed),17.62521725446604,9.197849163347083,296.3730510137368,0.2636855016503311,17.61028650498465
Bat-2,Rint,39.5503861149356,16.825574451727164,555.6838503500128,0.49972363657414304,39.42338160843968
Bat-2,Thevenin-1RC,39.740580903214315,17.292328093701958,553.684782513542,0.5120604383887524,39.407018646221246
Bat-2,Thevenin-2RC,40.02939235423389,17.939153968852114,551.6857554030157,0.5291752058719792,39.39504122625109
Bat-3,NBM,71.84158552621612,49.54990440099506,719.4679959501107,1.39879584006033,71.84080220990938
Bat-3,Shepherd (Proposed),17.681999725764204,9.114442383011372,296.15986234950896,0.26161326321678047,17.67175469132599
Bat-3,Rint,39.476349660806726,16.645957391101305,555.6818503316059,0.4952201090968983,39.42720420370961
Bat-3,Thevenin-1RC,39.60746253048509,17.009866336224135,553.6818079407046,0.5048281214404998,39.41088031209834
Bat-3,Thevenin-2RC,39.83860624873174,17.546582133713276,551.6817943499585,0.5190248450226561,39.39897675102813
Bat-4,NBM,71.67987248711661,49.48810822862678,719.4679959501107,1.3966975660376686,71.67707635100814
Bat-4,Shepherd (Proposed),17.612740267305906,9.12561076227073,295.8184861340234,0.2616213369113145,17.612679312589485
Bat-4,Rint,39.30225603971312,16.64300654977051,555.6818503316059,0.4947417875351768,39.23733804025446
Bat-4,Thevenin-1RC,39.44860173849156,17.033467596157024,553.6822957359155,0.5050623654082713,39.22119610375285
Bat-4,Thevenin-2RC,39.69510313573151,17.59803139791391,551.6827719471786,0.5200059070250205,39.20948685168116
Bat-5,NBM,72.47103551460063,49.716432413456374,719.4679959501107,1.404551637694645,72.32476194516177
Bat-5,Shepherd (Proposed),17.51321742482655,10.06731014091953,292.816087497155,0.28798609625264127,17.408199931706115
Bat-5,Rint,39.374862542795384,16.93215253491192,555.6818503316059,0.5045685487646113,39.26126338810264
Bat-5,Thevenin-1RC,39.25457610784688,16.995949321483558,553.6818421846714,0.5059456803305914,39.241416293991556
Bat-5,Thevenin-2RC,39.2360203758306,17.21655744963916,551.6818609557421,0.5114725554690039,39.22463730240049
Bat-6,NBM,73.27102754299345,50.81298261204718,719.4679959501107,1.4346646481765277,73.21840406226582
Bat-6,Shepherd (Proposed),17.644060611699388,9.922662629885416,292.0965418297592,0.28354317033342225,17.63020409899608
Bat-6,Rint,40.014562120716555,17.004851776060036,555.6818503316059,0.5070863232271395,39.99740590088094
Bat-6,Thevenin-1RC,39.9864043988405,17.144341833422253,553.6818473823284,0.5105771455594827,39.97838332649601
Bat-6,Thevenin-2RC,40.05798811922723,17.443632154619888,551.6818758378034,0.5182952291713624,39.962628836948284
Bat-7,NBM,75.20059752062387,50.89794320365929,719.4679959501107,1.4431234776325752,74.52189633966661
Bat-7,Shepherd (Proposed),18.511648633657963,11.064374121603171,290.1017399495438,0.3189610448517421,17.981553129033834
Bat-7,Rint,41.27298325867583,17.451403493868145,555.6818503316059,0.5230963505310906,40.3941465322285
Bat-7,Thevenin-1RC,40.89100534470903,17.205927600125804,553.6822083642226,0.5160164082841476,40.37119016755731
Bat-7,Thevenin-2RC,40.60427302157064,17.12291950159492,551.6825437315349,0.5132423939704857,40.34992068950098
Bat-8,NBM,73.49573950756216,50.20038768799252,719.4679959501107,1.4219505829213994,72.86415621418311
Bat-8,Shepherd (Proposed),18.59879002944844,10.344559729003837,293.8449639706957,0.2977100872142304,16.73707401266126
Bat-8,Rint,39.93592848933143,16.93063722515254,555.6818503316059,0.5045069113763913,39.1161969123942
Bat-8,Thevenin-1RC,39.563124447506105,16.508922008621933,553.681842184663,0.4931427490710639,39.09347101323727
Bat-8,Thevenin-2RC,39.29048982225892,16.261436982616576,551.68186095363,0.48640396504769773,39.07418440029889
